Is_top_5_League,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,0,1,0,148,24,7150,0,0,5130000
1,1,2,1,32,237,28,6845,0,0,5130000
1,1,2,0,51,348,32,7553,1,0,5130000
1,1,2,0,10,158,27,7480,1,0,5130000
1,1,2,0,22,128,27,7197,1,0,5068000
0,1,0,0,26,55,24,6485,0,0,5056000
0,0,2,0,32,275,30,7459,1,0,5000000
1,1,1,1,81,222,28,7451,0,0,5000000
1,1,2,1,0,208,25,6770,1,0,5000000
1,1,2,1,23,320,28,7450,0,0,5000000
1,1,2,1,24,209,25,7470,0,0,4995000
1,1,1,1,21,310,31,7693,0,0,4986000
1,1,1,1,5,217,28,6800,0,0,4986000
1,1,1,1,51,334,33,6750,0,0,4986000
0,0,2,1,11,419,32,7772,0,0,4986000
1,1,2,1,1,397,33,6700,0,0,4986000
1,1,1,1,16,172,26,6950,0,0,4986000
1,1,2,1,47,332,30,6836,0,0,4983000
0,1,0,0,9,128,29,6259,0,0,4952000
1,1,2,1,0,62,21,6500,0,0,4940000
0,0,2,0,3,340,31,7103,0,0,4939000
1,1,0,0,94,471,34,7913,0,0,4870000
0,1,2,1,0,314,31,6500,0,0,4857000
1,1,2,1,0,218,26,7776,0,0,4852000
1,1,2,0,4,260,26,7711,0,0,4852000
1,1,2,0,0,170,27,6950,0,0,4852000
1,1,2,1,4,108,22,6750,1,0,4852000
1,1,2,0,0,118,24,7250,1,0,4852000
1,1,2,0,2,240,27,7675,0,0,4852000
1,1,0,0,30,167,25,7287,0,0,4852000
1,1,2,1,6,308,27,6753,0,0,4852000
0,1,2,0,26,554,36,6584,0,0,4852000
1,1,2,0,3,89,22,6746,1,0,4852000
1,1,2,1,6,376,31,6360,0,0,4852000
1,1,2,0,1,83,21,7000,0,0,4852000
1,1,0,0,70,478,31,6596,0,0,4852000
1,1,0,1,19,115,25,7056,0,0,4852000
1,1,2,1,1,295,26,7150,0,0,4852000
1,1,2,1,0,351,30,7257,0,0,4852000
1,1,0,0,24,122,23,7479,1,0,4852000
1,1,2,0,8,163,24,7371,1,0,4852000
1,1,1,0,63,224,27,6927,0,0,4852000
1,1,2,1,6,191,26,7000,1,0,4852000
1,1,2,1,0,108,23,7395,1,0,4852000
1,1,2,0,0,153,24,7400,0,0,4852000
1,1,1,1,6,70,20,7006,0,0,4852000
1,1,1,0,102,387,32,6750,0,0,4852000
1,1,0,0,41,147,26,7272,0,0,4852000
1,1,2,1,0,130,21,7500,0,0,4852000
0,1,2,1,35,205,28,6509,0,0,4816000
1,1,2,1,1,195,27,6989,1,0,4808000
1,1,2,1,78,388,34,6200,0,0,4787000
1,1,2,1,28,218,29,6400,1,0,4787000
1,1,1,0,8,133,22,7866,0,0,4752000
0,1,0,1,43,334,30,6508,0,0,4734000
0,1,0,0,23,193,26,6528,0,0,4734000
1,1,2,1,0,332,32,7110,1,0,4705000
1,1,1,0,52,259,28,7014,1,0,4680000
0,0,2,1,30,240,25,7382,1,0,4680000
1,1,2,1,18,103,23,7245,0,0,4630000
1,1,0,0,155,552,34,5650,0,0,4630000
1,1,2,1,29,312,30,7200,0,0,4630000
1,1,2,1,1,354,30,7680,1,0,4630000
1,1,1,1,34,376,32,7005,0,0,4630000
1,1,1,1,116,398,35,7066,1,0,4630000
1,1,2,1,50,239,25,7088,0,0,4628000
1,1,0,1,45,221,27,7428,0,0,4587000
1,1,2,1,32,268,28,6653,0,0,4548000
1,1,0,1,68,390,34,6400,0,0,4548000
1,1,2,0,0,173,23,6768,0,0,4548000
1,1,2,0,6,365,35,6800,0,0,4548000
1,1,1,1,23,247,27,7475,0,0,4548000
1,1,1,0,58,201,27,7000,1,0,4548000
1,1,2,1,3,328,29,6470,1,0,4548000
0,1,2,1,7,248,29,6866,1,0,4548000
1,1,2,0,8,160,24,7015,1,0,4548000
1,1,2,1,2,266,27,7628,0,0,4548000
1,1,2,1,4,149,25,7659,0,0,4548000
1,1,1,0,55,382,30,7115,0,0,4548000
1,1,2,1,12,317,30,6400,0,0,4548000
1,1,1,0,32,139,24,6794,0,0,4548000
1,1,0,0,17,76,21,6740,0,0,4548000
1,1,2,0,0,99,22,6800,0,0,4548000
1,1,2,0,0,108,24,7454,0,0,4548000
1,1,2,1,1,34,19,7303,0,0,4548000
1,1,2,0,0,19,21,7400,1,0,4548000
1,1,2,0,0,48,20,7051,0,0,4548000
0,1,2,0,0,337,30,6266,0,0,4533000
0,1,1,1,45,324,34,6508,0,0,4528000
1,1,2,1,7,148,23,7454,0,0,4501000
1,1,2,1,48,631,37,6814,0,0,4500000
1,1,1,1,16,277,27,7535,0,0,4499000
1,1,2,1,124,509,36,7817,1,0,4490000
1,1,1,1,69,287,29,7268,0,0,4490000
1,1,2,0,3,178,25,7649,1,0,4490000
1,1,2,0,31,336,33,7300,1,0,4490000
1,1,0,0,68,342,32,7125,0,0,4488000
1,1,1,1,1,50,22,7073,0,0,4488000
1,1,0,1,28,373,32,7211,0,0,4488000
1,1,2,1,11,335,31,7228,0,0,4488000
1,1,1,1,8,79,20,8026,0,0,4488000
1,1,1,1,10,120,23,7288,0,0,4488000
1,1,2,1,68,324,31,7679,1,0,4488000
1,1,1,1,29,136,24,7071,0,0,4488000
1,1,1,1,35,207,25,7414,0,0,4488000
1,1,0,1,11,189,25,7001,0,0,4488000
1,1,2,1,0,93,23,7250,0,0,4488000
1,1,1,1,41,320,30,7260,0,0,4488000
0,1,0,0,3,171,25,6250,0,0,4463000
0,1,0,1,4,179,28,6506,0,0,4446000
1,1,2,1,44,365,29,6970,0,0,4440000
1,1,2,1,1,141,24,7051,0,0,4440000
0,0,2,1,35,490,35,6565,1,0,4420000
0,1,2,1,0,293,30,6509,0,0,4418000
0,1,2,1,0,404,33,6500,0,0,4418000
1,1,2,0,0,57,23,6634,0,0,4333000
0,1,0,1,51,429,35,6454,0,0,4283000
1,1,2,1,33,240,26,7578,0,0,4280000
1,1,0,1,0,351,33,6985,1,0,4280000
1,1,2,1,1,133,25,7266,0,0,4245000
1,1,2,0,61,627,37,7025,0,0,4245000
1,1,1,1,0,418,32,7471,0,0,4245000
1,1,0,0,2,120,23,7186,0,0,4245000
1,1,2,1,2,187,24,7126,1,0,4245000
1,1,2,0,2,280,34,6950,1,0,4245000
0,1,2,0,0,166,26,6250,0,0,4245000
1,1,1,0,39,351,28,6840,0,0,4245000
1,1,2,1,11,110,24,7936,0,0,4245000
1,1,0,0,12,442,33,6750,0,0,4245000
1,1,1,1,13,238,26,7114,0,0,4245000
0,0,2,0,31,391,32,6272,0,0,4208000
0,1,2,1,2,280,30,6988,1,0,4188000
0,0,0,1,18,333,30,6065,0,0,4177000
0,0,2,1,23,457,31,6553,0,0,4160000
0,0,2,1,0,103,21,6834,0,0,4160000
0,1,0,0,51,129,31,5964,0,0,4141000
0,0,2,1,45,461,32,6241,0,0,4138000
0,0,0,0,98,380,31,6250,0,0,4080000
1,1,2,1,2,174,29,6050,1,0,4070000
1,1,2,1,10,355,30,7500,0,0,4070000
1,1,2,1,3,189,28,6805,0,0,4070000
1,1,2,0,34,437,35,7300,1,0,4063000
0,1,0,0,53,312,34,6003,0,0,4055000
0,0,1,1,137,599,36,7700,0,0,4041000
1,1,2,1,32,194,26,7020,0,0,4032000
0,1,1,0,16,187,26,6271,0,0,4010000
1,1,2,0,3,91,23,7400,0,0,4002000
0,0,1,1,26,101,22,7083,1,0,4000000
1,1,2,1,16,147,25,6938,1,0,4000000
1,1,0,0,48,308,29,7022,0,0,4000000
1,1,2,1,85,370,32,7139,0,0,3989000
1,1,0,1,21,101,20,6781,0,0,3989000
